country,basic_wages,electricity_charges,milk,criminal,office_rent,lat,lon,city_id
ホーチミン,9.090909091,14.54545455,20.71428571,27.33315748,43.13953488,10.82,106.63,Hochi
ジャカルタ,14.61538462,14.54545455,16.30952381,23.92508573,23.60465116,-6.21,106.85,Jakar
バンコク,20,20,20,20,20,13.75,100.48,Bangk
マニラ,22.72727273,45.45454545,20.47619048,34.51332102,22.44186047,14.60,120.98,Manil
クアラルンプール,24.05594406,20,21.07142857,36.02743339,18.8372093,3.14,101.69,Kuala
ムンバイ,28.18181818,23.63636364,8.69047619,19.75731997,57.44186047,19.08,72.88,Mumba
上海,30.6993007,18.18181818,28.57142857,22.06278027,50.34883721,30.85,121.40,Shang
台北,70.48951049,21.81818182,30.83333333,8.288050646,28.37209302,25.09,121.35,Taipe
シンガポール,89.86013986,41.81818182,26.42857143,8.657346347,72.6744186,1.36,103.75,Singa
香港,96.78321678,25.45454545,30.71428571,8.604589818,94.53488372,22.40,114.11,Hongk
