Economy,Ease of Doing Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Investors,Paying Taxes,Trading Across Borders,Enforcing Contracts,Resolving Insolvency,asia
Singapore,1,4,2,5,36,12,2,5,1,12,2,0
"Hong Kong SAR, China",2,6,1,4,60,4,3,4,2,10,17,1
New Zealand,3,1,6,32,2,4,1,21,25,17,13,0
United States,4,13,17,19,25,4,6,69,22,6,16,0
Denmark,5,33,8,14,6,23,32,13,4,34,10,0
Norway,6,43,23,14,7,70,25,19,21,4,3,0
United Kingdom,7,19,20,62,73,1,10,16,14,21,8,0
"Korea, Rep.",8,24,26,3,75,12,49,30,3,2,14,0
Georgia,9,7,3,50,1,4,19,33,38,30,81,0
Australia,10,2,11,36,37,4,70,48,44,15,18,0
Finland,11,49,34,21,24,40,70,23,6,9,5,0
Malaysia,12,54,96,28,33,1,4,15,11,33,49,1
Sweden,13,54,25,9,35,40,32,38,8,27,22,0
Iceland,14,45,40,1,9,40,49,41,82,3,11,0
Ireland,15,10,106,95,53,12,6,6,28,63,9,0
"Taiwan, China",16,16,9,6,32,70,32,54,23,90,15,1
Canada,17,3,69,152,54,23,4,8,44,62,4,0
Thailand,18,85,16,10,26,70,13,96,20,23,58,1
Mauritius,19,14,62,44,60,53,13,12,15,58,64,0
Germany,20,106,14,2,81,23,100,72,13,5,19,0
Estonia,21,47,35,52,14,40,70,50,7,31,72,0
Saudi Arabia,22,78,32,12,12,53,19,3,36,124,107,0
"Macedonia, FYR",23,5,65,101,50,23,19,24,76,59,60,0
Japan,24,114,72,27,64,23,19,127,19,35,1,1
Latvia,25,59,113,83,31,4,70,52,16,24,33,0
United Arab Emirates,26,22,13,7,12,83,128,1,5,104,101,0
Lithuania,27,107,48,75,5,53,70,60,24,14,40,0
Switzerland,28,97,50,8,15,23,169,18,35,20,45,0
Austria,29,134,75,24,34,23,100,77,26,7,12,0
Portugal,30,31,78,35,30,104,49,77,17,22,23,0
Netherlands,31,67,89,67,49,53,117,29,12,32,6,0
Armenia,32,11,46,101,4,40,25,108,107,91,63,0
Belgium,33,44,57,82,176,70,19,75,29,18,7,0
France,34,27,52,42,146,53,82,53,27,8,43,0
Slovenia,35,30,61,31,83,104,17,63,57,56,42,0
Cyprus,36,37,80,98,99,53,32,31,18,108,25,0
Chile,37,32,84,40,55,53,32,36,48,70,98,0
