country,basic_wages,electricity_charges,milk,criminal,office_rent,lat,lon
ダッカ,5.454545455,10.90909091,9.285714286,31.1580058,19.76744186,23.71,90.41
ホーチミン,9.090909091,14.54545455,20.71428571,27.33315748,43.13953488,10.82,106.63
ジャカルタ,14.61538462,14.54545455,16.30952381,23.92508573,23.60465116,-6.21,106.85
チェンナイ,18.18181818,12.72727273,6.666666667,17.84753363,15.34883721,13.06,80.25
デリー,18.46153846,14.54545455,7.857142857,28.45159588,57.6744186,29.01,77.38
バンコク,20,20,20,20,20,13.75,100.48
深セン,22.16783217,20,29.16666667,12.77763123,29.06976744,22.54,114.03
バンガロール,22.37762238,12.72727273,6.071428571,27.72883144,19.65116279,12.97,77.59
マニラ,22.72727273,45.45454545,20.47619048,34.51332102,22.44186047,14.60,120.98
武漢,23.28671329,16.36363636,19.04761905,19.28251121,22.09302326,30.46,113.11
クアラルンプール,24.05594406,20,21.07142857,36.02743339,18.8372093,3.14,101.69
ムンバイ,28.18181818,23.63636364,8.69047619,19.75731997,57.44186047,19.08,72.88
上海,30.6993007,18.18181818,28.57142857,22.06278027,50.34883721,30.85,121.40
北京,37.62237762,14.54545455,25.83333333,26.01951992,63.60465116,39.90,116.27
台北,70.48951049,21.81818182,30.83333333,8.288050646,28.37209302,25.09,121.35
シンガポール,89.86013986,41.81818182,26.42857143,8.657346347,72.6744186,1.36,103.75
香港,96.78321678,25.45454545,30.71428571,8.604589818,94.53488372,22.40,114.11
ソウル,118.6013986,12.72727273,21.78571429,11.26351886,47.44186047,37.57,126.98
