country,basic_wages,office_rent,electricity_charges,milk,criminal
ダッカ,5.454545455,19.76744186,10.90909091,9.285714286,31.1580058
ホーチミン,9.090909091,43.13953488,14.54545455,20.71428571,27.33315748
ジャカルタ,14.61538462,23.60465116,14.54545455,16.30952381,23.92508573
チェンナイ,18.18181818,15.34883721,12.72727273,6.666666667,17.84753363
デリー,18.46153846,57.6744186,14.54545455,7.857142857,28.45159588
バンコク,20,20,20,20,20
深セン,22.16783217,29.06976744,20,29.16666667,12.77763123
バンガロール,22.37762238,19.65116279,12.72727273,6.071428571,27.72883144
マニラ,22.72727273,22.44186047,45.45454545,20.47619048,34.51332102
武漢,23.28671329,22.09302326,16.36363636,19.04761905,19.28251121
クアラルンプール,24.05594406,18.8372093,20,21.07142857,36.02743339
ムンバイ,28.18181818,57.44186047,23.63636364,8.69047619,19.75731997
上海,30.6993007,50.34883721,18.18181818,28.57142857,22.06278027
北京,37.62237762,63.60465116,14.54545455,25.83333333,26.01951992
台北,70.48951049,28.37209302,21.81818182,30.83333333,8.288050646
シンガポール,89.86013986,72.6744186,41.81818182,26.42857143,8.657346347
香港,96.78321678,94.53488372,25.45454545,30.71428571,8.604589818
ソウル,118.6013986,47.44186047,12.72727273,21.78571429,11.26351886
