country,basic_wages,electricity_charges,milk,criminal,office_rent
Dhaka,5.454545455,10.90909091,9.285714286,31.1580058,19.76744186
HCMC,9.090909091,14.54545455,20.71428571,27.33315748,43.13953488
Jakarta,14.61538462,14.54545455,16.30952381,23.92508573,23.60465116
Chennai,18.18181818,12.72727273,6.666666667,17.84753363,15.34883721
Delhi,18.46153846,14.54545455,7.857142857,28.45159588,57.6744186
Bangkok,20,20,20,20,20
Shenzhen,22.16783217,20,29.16666667,12.77763123,29.06976744
Bangalore,22.37762238,12.72727273,6.071428571,27.72883144,19.65116279
Manila,22.72727273,45.45454545,20.47619048,34.51332102,22.44186047
Wuhan,23.28671329,16.36363636,19.04761905,19.28251121,22.09302326
KL,24.05594406,20,21.07142857,36.02743339,18.8372093
Mumbai,28.18181818,23.63636364,8.69047619,19.75731997,57.44186047
Shanghai,30.6993007,18.18181818,28.57142857,22.06278027,50.34883721
Beijing,37.62237762,14.54545455,25.83333333,26.01951992,63.60465116
Taipei,70.48951049,21.81818182,30.83333333,8.288050646,28.37209302
Singapore,89.86013986,41.81818182,26.42857143,8.657346347,72.6744186
HongKong,96.78321678,25.45454545,30.71428571,8.604589818,94.53488372
Seoul,118.6013986,12.72727273,21.78571429,11.26351886,47.44186047
